head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
247,chemicalentity_chemicalentity,249,-0.017664136365056038,-0.2358310709639575,ACCEPT,glycine betaine,betaine aldehyde,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,165000,-0.07622583210468292,-0.2358310709639575,ACCEPT,glycine betaine,cyanin betaine,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,115244,-0.019307514652609825,-0.2358310709639575,ACCEPT,glycine betaine,L-proline betaine,[],False,False,False,False,,,
247,chemicalentity_chemicalentity,90657848,-0.08018364012241364,-0.2358310709639575,ACCEPT,glycine betaine,anthocyanidin betaine,[],False,False,False,False,,,
247,chemicalentity_protein,P0C0L7,-0.20277369022369385,-0.3294023660562368,ACCEPT,glycine betaine,Proline/betaine transporter,[],False,False,False,False,,,
247,chemicalentity_biologicalprocess,GO:0031460,-0.033164627850055695,-0.2731139026585172,ACCEPT,glycine betaine,glycine betaine transport,['BiologicalProcess_ChemicalEntity'],False,True,True,False,BiologicalProcess_ChemicalEntity,,
247,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0031460,-0.3051547408103943,-0.5837182804085688,ACCEPT,glycine betaine,glycine betaine transport,['BiologicalProcess_ChemicalEntity'],False,True,False,False,BiologicalProcess_ChemicalEntity,6.0,"{'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5199, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3052, 'chemicalentity_inhibits_biologicalprocess': -0.3076, 'chemicalentity_promotes_biologicalprocess': -0.3825, 'chemicalentity_noeffect_biologicalprocess': -1.4677, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7105}"
247,chemicalentity_gene,BHMT,-0.005883295089006424,-0.2065635831437511,ACCEPT,glycine betaine,betaine--homocysteine S-methyltransferase,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
247,chemicalentity_gene,TBK1,-0.0018486034823581576,-0.2065635831437511,ACCEPT,glycine betaine,TANK binding kinase 1,[],False,False,False,False,,,
247,chemicalentity_protein,Q6DFJ6,-0.12992848455905914,-0.3294023660562368,ACCEPT,glycine betaine,Serine/threonine-protein kinase TBK1,[],False,False,False,False,,,
247,chemicalentity_pathway,R-MMU-936964,-0.026014231145381927,-0.4282682148943566,ACCEPT,glycine betaine,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,[],False,False,False,False,,,
247,chemicalentity_biologicalprocess,GO:0039723,-0.0723649188876152,-0.2731139026585172,ACCEPT,glycine betaine,symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of TBK1 activity,[],False,False,False,False,,,
247,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0039723,-0.42870718240737915,-0.5837182804085688,ACCEPT,glycine betaine,symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of TBK1 activity,[],False,False,False,False,,6.0,"{'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5294, 'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4287, 'chemicalentity_inhibits_biologicalprocess': -0.7276, 'chemicalentity_promotes_biologicalprocess': -0.9517, 'chemicalentity_noeffect_biologicalprocess': -1.2245, 'chemicalentity_notassociatedwith_biologicalprocess': -0.7314}"
247,chemicalentity_disease,C5543581,-0.06772439181804657,-0.3919549650160272,ACCEPT,glycine betaine,Immunodeficiency 82 with systemic inflammation,[],False,False,False,False,,,
247,chemicalentity_pathway,R-HSA-73894,-0.0052741472609341145,-0.4282682148943566,ACCEPT,glycine betaine,DNA Repair,[],False,False,False,False,,,
247,chemicalentity_disease,C0001811,-0.03650173917412758,-0.3919549650160272,ACCEPT,glycine betaine,Aging,[],False,False,False,False,,,
247,chemicalentity_disease,D015595,-0.42975661158561707,-0.3919549650160272,REJECT,glycine betaine,Skin Aging,[],False,False,False,False,,,
247,chemicalentity_disease,D019588,-0.018971486017107964,-0.3919549650160272,ACCEPT,glycine betaine,"Aging, Premature",[],False,False,False,False,,,
247,chemicalentity_biologicalprocess,GO:0007568,-0.0012284581316635013,-0.2731139026585172,ACCEPT,glycine betaine,aging,['ChemicalEntity_BiologicalProcess'],False,True,True,False,ChemicalEntity_BiologicalProcess,,
