head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
79014,chemicalentity_chemicalentity,439723,-0.13573884963989258,-0.2425281074611494,ACCEPT,D-glyceraldehyde,"(2S)-2,3-dihydroxypropanal",['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
79014,chemicalentity_chemicalentity,751,-0.019848721101880074,-0.2425281074611494,ACCEPT,D-glyceraldehyde,aldose,[],False,False,False,False,,,
79014,chemicalentity_chemicalentity,439168,-0.02029583230614662,-0.2425281074611494,ACCEPT,D-glyceraldehyde,[(2R)-2-hydroxy-3-oxopropyl] dihydrogen phosphate,['ChemicalEntity_ChemicalEntity'],False,True,True,False,ChemicalEntity_ChemicalEntity,,
79014,chemicalentity_chemicalentity,129627713,-0.16942830383777618,-0.2425281074611494,ACCEPT,D-glyceraldehyde,"4,5-dihydroxy-1-oxo-2,6,7-trioxa-1lambda5-phosphabicyclo[2.2.1]heptan-3-one",[],False,False,False,False,,,
79014,chemicalentity_biologicalprocess,GO:0010150,-0.01334176305681467,-0.232143107153421,ACCEPT,D-glyceraldehyde,leaf senescence,[],False,False,False,False,,,
79014,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0010150,-0.06518793851137161,-0.596142909254255,ACCEPT,D-glyceraldehyde,leaf senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0652, 'chemicalentity_noeffect_biologicalprocess': -1.3511, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1869, 'chemicalentity_promotes_biologicalprocess': -0.3781, 'chemicalentity_inhibits_biologicalprocess': -0.1386, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1341}"
79014,chemicalentity_biologicalprocess,GO:0090398,-0.008501830510795116,-0.232143107153421,ACCEPT,D-glyceraldehyde,cellular senescence,[],False,False,False,False,,,
79014,chemicalentity_inhibits_biologicalprocess,GO:0090398,-0.0033548378851264715,-0.7050372264239742,ACCEPT,D-glyceraldehyde,cellular senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0386, 'chemicalentity_noeffect_biologicalprocess': -0.3261, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0806, 'chemicalentity_promotes_biologicalprocess': -0.0326, 'chemicalentity_inhibits_biologicalprocess': -0.0034, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0681}"
79014,chemicalentity_biologicalprocess,GO:0090399,-0.0125455092638731,-0.232143107153421,ACCEPT,D-glyceraldehyde,replicative senescence,[],False,False,False,False,,,
79014,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0090399,-0.053198859095573425,-0.596142909254255,ACCEPT,D-glyceraldehyde,replicative senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0532, 'chemicalentity_noeffect_biologicalprocess': -1.5789, 'chemicalentity_notassociatedwith_biologicalprocess': -0.13, 'chemicalentity_promotes_biologicalprocess': -0.4943, 'chemicalentity_inhibits_biologicalprocess': -0.1428, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0772}"
79014,chemicalentity_biologicalprocess,GO:1990636,-0.09829646348953247,-0.232143107153421,ACCEPT,D-glyceraldehyde,reproductive senescence,[],False,False,False,False,,,
79014,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:1990636,-0.3469712436199188,-0.596142909254255,ACCEPT,D-glyceraldehyde,reproductive senescence,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.347, 'chemicalentity_noeffect_biologicalprocess': -1.4054, 'chemicalentity_notassociatedwith_biologicalprocess': -0.5494, 'chemicalentity_promotes_biologicalprocess': -1.0537, 'chemicalentity_inhibits_biologicalprocess': -0.7458, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5267}"
79014,chemicalentity_biologicalprocess,GO:0150103,-0.024631256237626076,-0.232143107153421,ACCEPT,D-glyceraldehyde,reactive gliosis,[],False,False,False,False,,,
79014,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0150103,-0.17145602405071259,-0.596142909254255,ACCEPT,D-glyceraldehyde,reactive gliosis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1715, 'chemicalentity_noeffect_biologicalprocess': -1.2167, 'chemicalentity_notassociatedwith_biologicalprocess': -0.3237, 'chemicalentity_promotes_biologicalprocess': -0.4105, 'chemicalentity_inhibits_biologicalprocess': -0.2202, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2481}"
79014,chemicalentity_biologicalprocess,GO:0006486,-0.007052781525999308,-0.232143107153421,ACCEPT,D-glyceraldehyde,protein glycosylation,[],False,False,False,False,,,
79014,chemicalentity_inhibits_biologicalprocess,GO:0006486,-0.06624974310398102,-0.7050372264239742,ACCEPT,D-glyceraldehyde,protein glycosylation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0844, 'chemicalentity_noeffect_biologicalprocess': -1.2627, 'chemicalentity_notassociatedwith_biologicalprocess': -0.2727, 'chemicalentity_promotes_biologicalprocess': -0.1144, 'chemicalentity_inhibits_biologicalprocess': -0.0662, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1756}"
79014,chemicalentity_biologicalprocess,GO:0008213,-0.013585945591330528,-0.232143107153421,ACCEPT,D-glyceraldehyde,protein alkylation,[],False,False,False,False,,,
79014,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0008213,-0.15855859220027924,-0.596142909254255,ACCEPT,D-glyceraldehyde,protein alkylation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.1586, 'chemicalentity_noeffect_biologicalprocess': -1.3633, 'chemicalentity_notassociatedwith_biologicalprocess': -0.4586, 'chemicalentity_promotes_biologicalprocess': -0.3541, 'chemicalentity_inhibits_biologicalprocess': -0.1592, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.2931}"
